"cainjector_cpu","cainjector_memory","certificate_count","certificaterequest_count","controller_cpu","controller_memory","secret_count","secret_size","timestamp","webhook_cpu","webhook_memory"
2,39157760000,0,0,1,31903744000,17,1706589,1712510711,1,17977344000
2,39153664000,52,14,1,31916032000,39,1819541,1712510721,3,25214976000
5,39411712000,96,30,2479,50864128000,71,1982336,1712510731,3,25214976000
5,39411712000,140,44,2479,50864128000,92,2098850,1712510741,3,25214976000
21,43921408000,183,61,4745,56315904000,116,2232006,1712510751,51,26726400000
22,44359680000,227,75,4738,59543552000,145,2381514,1712510761,53,26714112000
22,44359680000,270,93,4738,59543552000,173,2534596,1712510771,53,26714112000
20,44695552000,314,107,4766,64339968000,194,2651110,1712510781,54,27308032000
21,46366720000,358,129,4773,69885952000,234,2857116,1712510791,59,27099136000
21,46366720000,401,149,4773,69885952000,268,3036700,1712510801,59,27099136000
23,46632960000,445,165,4790,73199616000,291,3159770,1712510811,67,27025408000
22,50204672000,489,186,4770,75845632000,323,3336193,1712510821,56,27975680000
22,50204672000,532,197,4770,75845632000,344,3449328,1712510831,56,27975680000
21,50946048000,576,214,4783,77873152000,370,3589044,1712510841,60,27791360000
22,51548160000,620,227,4761,84410368000,395,3718610,1712510851,58,27754496000
22,51548160000,663,239,4761,84410368000,411,3808543,1712510861,58,27754496000
21,51744768000,707,251,4776,86888448000,432,3921642,1712510871,56,28020736000
25,55107584000,750,267,4796,86679552000,456,4051359,1712510881,66,28090368000
25,55107584000,794,280,4796,86679552000,479,4174417,1712510891,66,28090368000
24,55181312000,838,296,4795,91054080000,503,4304190,1712510901,69,28270592000
24,55181312000,881,311,4804,95121408000,530,4447182,1712510911,70,28213248000
24,55181312000,925,322,4804,95121408000,546,4537075,1712510921,70,28213248000
26,56184832000,969,336,4775,97947648000,566,4646926,1712510931,62,28577792000
21,56565760000,1012,354,4782,102187008000,594,4796573,1712510941,62,28561408000
21,56565760000,1056,367,4782,102187008000,615,4916506,1712510951,62,28561408000
24,56590336000,1100,383,4782,102187008000,640,5052958,1712510961,72,27992064000
25,59723776000,1143,397,4803,104472576000,661,5169476,1712510971,65,28499968000
25,59723776000,1187,415,4803,104472576000,689,5315744,1712510981,65,28499968000
22,59731968000,1230,430,4765,111108096000,717,5465431,1712510991,66,28442624000
23,62169088000,1274,445,4758,113545216000,741,5595188,1712511001,76,28225536000
23,62169088000,1318,456,4758,113545216000,757,5681678,1712511011,76,28225536000
25,66498560000,1361,470,4765,117084160000,779,5804927,1712511021,63,28766208000
21,66519040000,1405,490,4755,119754752000,806,5954797,1712511031,59,28684288000
21,66519040000,1449,499,4755,119754752000,825,6051119,1712511041,59,28684288000
24,66633728000,1492,517,4813,120696832000,855,6210721,1712511051,73,28467200000
23,66650112000,1536,531,4760,125374464000,880,6343762,1712511061,64,28266496000
23,66650112000,1580,544,4760,125374464000,902,6460141,1712511071,64,28266496000
23,66650112000,1623,562,4795,129003520000,928,6603296,1712511081,56,28717056000
22,66666496000,1667,576,4801,133197824000,953,6736357,1712511091,56,28717056000
22,66666496000,1710,589,4801,133197824000,976,6856004,1712511101,56,28717056000
26,70991872000,1754,602,4769,135745536000,999,6975659,1712511111,70,30441472000
21,71004160000,1798,617,4779,140099584000,1023,7105420,1712511121,58,30486528000
21,71004160000,1841,634,4779,140099584000,1055,7268203,1712511131,58,30486528000
23,71008256000,1885,647,4788,144093184000,1076,7377931,1712511141,64,30633984000
22,73224192000,1929,660,4779,144191488000,1098,7497725,1712511151,66,30789632000
22,73224192000,1972,673,4779,144191488000,1119,7610840,1712511161,66,30789632000
21,73232384000,2016,685,4787,146374656000,1139,7717232,1712511171,64,30760960000
21,73232384000,2020,700,4787,146374656000,1165,7850122,1712511182,63,31158272000
21,73232384000,2020,718,4787,146374656000,1195,8009720,1712511191,63,31158272000
16,73289728000,2020,733,4763,152645632000,1221,8149424,1712511201,40,30535680000
11,73203712000,2020,747,4788,154939392000,1244,8265807,1712511212,43,30728192000
11,73203712000,2020,762,4788,154939392000,1269,8405471,1712511221,43,30728192000
11,75362304000,2020,778,4772,157077504000,1296,8548455,1712511232,43,30728192000
11,77541376000,2020,792,4774,159244288000,1319,8668122,1712511242,38,30756864000
11,77541376000,2020,806,4774,159244288000,1341,8791351,1712511252,38,30756864000
11,78016512000,2020,823,4765,165675008000,1369,8937627,1712511262,32,30633984000
10,78348288000,2020,840,4756,165797888000,1399,9097253,1712511272,43,30793728000
10,78348288000,2020,860,4756,165797888000,1432,9273545,1712511282,43,30793728000
12,78454784000,2020,873,4810,167055360000,1452,9383368,1712511292,41,30429184000
10,78458880000,2020,889,4764,167870464000,1482,9536184,1712511302,35,30392320000
10,78458880000,2020,907,4764,167870464000,1513,9699106,1712511312,35,30392320000
10,78458880000,2020,923,4781,171532288000,1538,9835574,1712511322,37,30433280000
12,80683008000,2020,942,4770,171732992000,1573,10014959,1712511332,44,30871552000
12,80683008000,2020,959,4770,171732992000,1601,10164654,1712511342,44,30871552000
13,83390464000,2020,977,4804,176689152000,1631,10324288,1712511352,44,30736384000
11,83959808000,2020,990,4767,176910336000,1652,10437379,1712511362,37,30695424000
11,83959808000,2020,1004,4767,176910336000,1675,10560481,1712511372,37,30695424000
10,83935232000,2020,1019,4765,178229248000,1700,10693534,1712511382,30,30617600000
9,83927040000,2020,1038,4755,182554624000,1730,10856595,1712511392,30,30617600000
9,83927040000,2020,1051,4755,182554624000,1752,10972978,1712511402,30,30617600000
11,83959808000,2020,1070,4779,183128064000,1780,11126056,1712511412,38,30478336000
11,84045824000,2020,1087,4808,185405440000,1809,11282406,1712511422,39,30748672000
11,84045824000,2020,1098,4808,185405440000,1828,11382127,1712511432,39,30748672000
9,83836928000,2020,1114,4808,185405440000,1854,11521827,1712511442,41,30515200000
11,85757952000,2020,1128,4756,189812736000,1879,11651473,1712511452,38,32239616000
11,85757952000,2020,1142,4756,189812736000,1902,11774547,1712511462,38,32239616000
13,90484736000,2020,1155,4796,189923328000,1922,11884362,1712511472,38,32239616000
9,90566656000,2020,1172,4751,193257472000,1951,12037313,1712511482,35,32641024000
9,90566656000,2020,1189,4751,193257472000,1978,12183716,1712511492,35,32641024000
9,90566656000,2020,1205,4788,194355200000,2005,12326724,1712511502,37,33153024000
12,90750976000,2020,1222,4788,194355200000,2032,12473131,1712511512,42,34197504000
12,90750976000,2020,1240,4788,194355200000,2060,12622818,1712511522,42,34197504000
11,91115520000,2020,1254,4785,196268032000,2087,12762371,1712511532,39,34054144000
12,90890240000,2020,1269,4769,196931584000,2110,12888904,1712511542,36,34430976000
12,90890240000,2020,1282,4769,196931584000,2132,13005291,1712511552,36,34430976000
10,90869760000,2020,1299,4775,202223616000,2162,13161538,1712511562,33,34562048000
9,90914816000,2020,1318,4759,202813440000,2194,13331139,1712511572,39,34664448000
9,90914816000,2020,1327,4759,202813440000,2210,13414238,1712511582,39,34664448000
12,92901376000,2020,1343,4810,205643776000,2236,13553938,1712511592,35,34709504000
11,93229056000,2020,1358,4746,208986112000,2262,13690251,1712511602,33,34996224000
11,93229056000,2020,1378,4746,208986112000,2292,13856739,1712511612,33,34996224000
12,93253632000,2020,1394,4779,209408000000,2319,13999703,1712511622,39,35078144000
11,93274112000,2020,1408,4787,210837504000,2341,14119537,1712511632,39,35078144000
11,93274112000,2020,1425,4787,210837504000,2372,14279056,1712511642,39,35078144000
11,93274112000,2020,1443,4767,212860928000,2405,14448498,1712511652,35,34848768000
10,93298688000,2020,1454,4788,214622208000,2422,14541727,1712511662,38,35045376000
10,93298688000,2020,1473,4788,214622208000,2451,14701524,1712511672,38,35045376000
10,93282304000,2020,1484,4751,219508736000,2470,14801249,1712511682,33,35082240000
11,93388800000,2020,1500,4768,219516928000,2496,14941009,1712511692,33,34889728000
11,93388800000,2020,1517,4768,219516928000,2522,15080721,1712511702,33,34889728000
14,94126080000,2020,1536,4791,222322688000,2557,15263565,1712511712,38,34865152000
11,94220288000,2020,1553,4774,226091008000,2586,15416556,1712511722,38,34865152000
11,94220288000,2020,1567,4774,226091008000,2608,15536394,1712511732,38,34865152000
11,94732288000,2020,1579,4777,236359680000,2630,15649358,1712511742,40,34574336000
8,94732288000,2020,1596,4746,237559808000,2655,15789189,1712511752,31,34017280000
8,94732288000,2020,1615,4746,237559808000,2688,15958691,1712511762,31,34017280000
12,94580736000,2020,1630,4801,238833664000,2711,16088571,1712511772,31,34017280000
10,94593024000,2020,1643,4768,240070656000,2731,16198430,1712511782,46,34603008000
10,94593024000,2020,1660,4768,240070656000,2761,16354629,1712511792,46,34603008000
9,94834688000,2020,1675,4751,242819072000,2786,16487658,1712511802,32,34639872000
9,94834688000,2020,1689,4763,245653504000,2810,16614016,1712511812,36,34533376000
9,94834688000,2020,1707,4763,245653504000,2842,16780214,1712511822,36,34533376000
12,98611200000,2020,1723,4790,249147392000,2869,16923198,1712511832,31,34549760000
11,98717696000,2020,1737,4790,249147392000,2893,17049540,1712511842,55,35024896000
11,98717696000,2020,1754,4790,249147392000,2921,17199231,1712511852,55,35024896000
9,98717696000,2020,1768,4778,249499648000,2944,17322289,1712511862,33,34590720000
10,98078720000,2020,1781,4778,249499648000,2965,17435420,1712511872,36,34803712000
10,98078720000,2020,1797,4778,249499648000,2990,17571872,1712511882,36,34803712000
10,98078720000,2020,1813,4768,251285504000,3015,17708324,1712511893,33,33611776000
11,98680832000,2020,1827,4784,251363328000,3039,17834654,1712511902,41,33501184000
11,98680832000,2020,1844,4784,251363328000,3070,17994133,1712511912,41,33501184000
10,99069952000,2020,1859,4762,255348736000,3095,18127154,1712511923,32,36577280000
9,101847040000,2020,1874,4750,259170304000,3121,18263419,1712511932,34,36974592000
9,101847040000,2020,1889,4750,259170304000,3145,18389753,1712511943,34,36974592000
14,102555648000,2020,1904,4771,260796416000,3170,18526221,1712511952,38,36818944000
10,102703104000,2020,1918,4763,264957952000,3194,18652571,1712511962,36,37019648000
10,102703104000,2020,1933,4763,264957952000,3220,18782070,1712511973,36,37019648000
9,102723584000,2020,1948,4768,266473472000,3246,18925241,1712511983,30,37072896000
10,102711296000,2020,1962,4774,266768384000,3270,19051563,1712511993,35,36429824000
10,102711296000,2020,1982,4774,266768384000,3305,19234407,1712512003,35,36429824000
10,102711296000,2020,1993,4793,270430208000,3321,19324352,1712512013,41,37048320000
10,102715392000,2020,2010,4772,271462400000,3352,19483867,1712512023,36,37101568000
10,102715392000,2020,2020,4772,271462400000,2946,18189777,1712512033,36,37101568000
10,102850560000,2020,2020,4293,279937024000,2037,15215825,1712512041,62,36909056000
180,119054336000,2020,2020,1329,281509888000,2037,15215825,1712512051,241,37650432000
180,119054336000,2020,2020,1329,281509888000,2037,15215825,1712512061,241,37650432000
57,119222272000,2020,2020,1329,281509888000,2037,15215825,1712512071,45,37441536000
2,119271424000,2020,2020,1,281513984000,2037,15215825,1712512081,1,37445632000
2,119271424000,2020,2020,1,281513984000,2037,15215825,1712512091,1,37445632000
1,118652928000,2020,2020,1,280993792000,2037,15215825,1712512101,1,37445632000
1,118673408000,2020,2020,2,283860992000,2037,15215825,1712512111,1,36622336000
1,118673408000,2020,2020,2,283860992000,2037,15215825,1712512121,1,36622336000
1,118677504000,2020,2020,1,283856896000,2037,15215825,1712512131,1,36618240000
2,118763520000,2020,2020,1,283975680000,2037,15215825,1712512141,1,36622336000
2,118763520000,2020,2020,1,283975680000,2037,15215825,1712512151,1,36622336000
2,118788096000,2020,2020,2,283983872000,2037,15215825,1712512161,1,36614144000
4,114380800000,2020,2020,8,244690944000,2037,15215825,1712512171,2,35270656000
4,114380800000,2020,2020,8,244690944000,2037,15215825,1712512181,2,35270656000
2,114442240000,2020,2020,1,244686848000,2037,15215825,1712512191,1,35274752000
2,114442240000,2020,2020,2,244686848000,2037,15215825,1712512201,1,35397632000
2,114442240000,2020,2020,2,244686848000,2037,15215825,1712512211,1,35397632000
2,114438144000,2020,2020,1,244686848000,2037,15215825,1712512221,1,35270656000
2,114438144000,2020,2020,1,244690944000,2037,15215825,1712512231,1,35274752000
2,114438144000,2020,2020,1,244690944000,2037,15215825,1712512241,1,35274752000
2,114442240000,2020,2020,2,244756480000,2037,15215825,1712512251,1,35270656000
1,114446336000,2020,2020,1,244756480000,2037,15215825,1712512261,1,35270656000
1,114446336000,2020,2020,1,244756480000,2037,15215825,1712512271,1,35270656000
1,114442240000,2020,2020,1,244752384000,2037,15215825,1712512281,1,35274752000
3,106299392000,2020,2020,8,239149056000,2037,15215825,1712512291,1,35282944000
3,106299392000,2020,2020,8,239149056000,2037,15215825,1712512301,1,35282944000
2,106299392000,2020,2020,1,239276032000,2037,15215825,1712512311,1,35155968000
1,106303488000,2020,2020,1,239276032000,2037,15215825,1712512321,1,35151872000
1,106303488000,2020,2020,1,239276032000,2037,15215825,1712512331,1,35151872000
1,106303488000,2020,2020,1,239144960000,2037,15215825,1712512341,1,35151872000
1,106299392000,2020,2020,1,239243264000,2037,15215825,1712512351,1,35151872000
1,106299392000,2020,2020,1,239243264000,2037,15215825,1712512361,1,35151872000
1,106299392000,2020,2020,2,239284224000,2037,15215825,1712512371,1,35151872000
1,106303488000,2020,2020,1,239403008000,2037,15215825,1712512381,1,35151872000
1,106303488000,2020,2020,1,239403008000,2037,15215825,1712512391,1,35151872000
1,106299392000,2020,2020,1,239407104000,2037,15215825,1712512401,1,35155968000
3,106254336000,2020,2020,8,239685632000,2037,15215825,1712512411,1,35287040000
3,106254336000,2020,2020,8,239685632000,2037,15215825,1712512421,1,35287040000
2,106258432000,2020,2020,8,239685632000,2037,15215825,1712512431,1,35155968000
2,106254336000,2020,2020,2,239681536000,2037,15215825,1712512441,1,35155968000
2,106254336000,2020,2020,2,239681536000,2037,15215825,1712512451,1,35155968000
1,106254336000,2020,2020,2,239681536000,2037,15215825,1712512461,1,35155968000
1,106184704000,2020,2020,1,240508928000,2037,15215825,1712512471,1,35065856000
1,106184704000,2020,2020,1,240508928000,2037,15215825,1712512481,1,35065856000
2,106188800000,2020,2020,1,240508928000,2037,15215825,1712512491,1,35065856000
2,106201088000,2020,2020,2,240648192000,2037,15215825,1712512501,1,35065856000
2,106201088000,2020,2020,2,240648192000,2037,15215825,1712512511,1,35065856000
1,106196992000,2020,2020,2,240721920000,2037,15215825,1712512521,1,35065856000
4,106196992000,2020,2020,12,240766976000,2037,15215825,1712512531,1,35065856000
4,106196992000,2020,2020,12,240766976000,2037,15215825,1712512541,1,35065856000
4,106196992000,2020,2020,1,240762880000,2037,15215825,1712512551,1,35069952000
1,106201088000,2020,2020,1,240762880000,2037,15215825,1712512561,1,35065856000
1,106201088000,2020,2020,1,240762880000,2037,15215825,1712512571,1,35065856000
2,106196992000,2020,2020,1,240762880000,2037,15215825,1712512581,1,35065856000
1,106196992000,2020,2020,1,240848896000,2037,15215825,1712512591,1,35069952000
1,106196992000,2020,2020,1,240848896000,2037,15215825,1712512601,1,35069952000
1,106201088000,2020,2020,1,240852992000,2037,15215825,1712512611,1,35065856000
2,106209280000,2020,2020,2,240852992000,2037,15215825,1712512621,1,35069952000
2,106209280000,2020,2020,2,240852992000,2037,15215825,1712512631,1,35069952000
2,106209280000,1920,1920,1,240857088000,1937,14547093,1712512644,1,35069952000
13,106536960000,1880,1880,1,240967680000,1917,14413325,1712512653,1,35078144000
13,106536960000,1810,1802,1,240967680000,1807,13677679,1712512662,1,35078144000
26,109424640000,1690,1690,3152,307482624000,1707,12875139,1712512672,38,40222720000
28,117796864000,1560,1560,3357,308621312000,1577,12139473,1712512682,33,40022016000
28,117796864000,1450,1450,3357,308621312000,1477,11377075,1712512692,33,40022016000
29,121110528000,1345,1320,2016,310497280000,1347,10601367,1712512702,30,39682048000
24,121282560000,1220,1220,2683,310861824000,1237,9865693,1712512712,25,39346176000
24,121282560000,1120,1120,2683,310861824000,1137,9196877,1712512722,25,39346176000
35,117731328000,1020,1020,2589,309022720000,1037,8528097,1712512732,25,39346176000
20,117731328000,920,920,2914,306016256000,937,7859309,1712512742,24,39350272000
20,117731328000,810,800,2914,306016256000,827,7123655,1712512752,24,39350272000
28,111693824000,710,710,3067,294879232000,717,6388037,1712512762,28,40189952000
29,111697920000,600,600,2603,287219712000,607,5719297,1712512771,18,40165376000
29,111697920000,490,470,2603,287219712000,489,4849875,1712512781,18,40165376000
23,105549824000,400,380,2389,280272896000,414,4314799,1712512792,18,40165376000
34,101974016000,290,288,3481,272355328000,297,3579145,1712512802,37,39239680000
34,101974016000,190,190,3481,272355328000,207,2977331,1712512811,37,39239680000
40,101978112000,100,90,3481,272355328000,117,2375373,1712512821,20,39239680000
48,99610624000,20,10,3437,253472768000,37,1840341,1712512831,52,40050688000
48,99610624000,0,0,3437,253472768000,17,1706589,1712512841,52,40050688000
43,96993280000,0,0,3082,247042048000,17,1706589,1712512851,52,40050688000
14,97050624000,0,0,2,247042048000,17,1706589,1712512861,26,39837696000
14,97050624000,0,0,2,247042048000,17,1706589,1712512871,26,39837696000
2,97054720000,0,0,2,247042048000,17,1706589,1712512881,1,40206336000
2,97050624000,0,0,1,247042048000,17,1706589,1712512891,1,40202240000
2,97050624000,0,0,1,247042048000,17,1706589,1712512901,1,40202240000
1,97054720000,0,0,1,247037952000,17,1706589,1712512911,1,40202240000
1,97054720000,0,0,2,247042048000,17,1706589,1712512921,1,40198144000
1,97054720000,0,0,2,247042048000,17,1706589,1712512931,1,40198144000
1,97058816000,0,0,1,247046144000,17,1706589,1712512941,1,40198144000
1,97054720000,0,0,1,247046144000,17,1706589,1712512951,1,40202240000
1,97054720000,0,0,1,247046144000,17,1706589,1712512961,1,40202240000
