"cainjector_cpu","cainjector_memory","certificate_count","certificaterequest_count","controller_cpu","controller_memory","secret_count","secret_size","timestamp","webhook_cpu","webhook_memory"
1,51355648000,0,0,1,73162752000,13,695817,1712437612,2,29937664000
10,51359744000,51,6,3,63246336000,73,767281,1712437623,1,29937664000
10,51359744000,95,13,3,63246336000,122,830382,1712437633,1,29937664000
11,51355648000,139,18,2017,73502720000,166,898761,1712437643,20,33206272000
11,51359744000,182,22,1032,76406784000,215,970878,1712437653,12,33583104000
11,51359744000,226,31,1032,76406784000,263,1060895,1712437663,12,33583104000
13,51458048000,270,37,1032,76406784000,309,1164541,1712437673,16,33447936000
13,51519488000,313,46,1894,78700544000,361,1249917,1712437683,16,33574912000
13,51519488000,357,53,1894,78700544000,408,1295281,1712437693,16,33574912000
11,51515392000,400,61,1818,81137664000,455,1343117,1712437703,16,33648640000
13,51527680000,444,68,1127,81416192000,502,1388481,1712437713,15,33107968000
13,51527680000,488,76,1127,81416192000,553,1450201,1712437723,15,33107968000
12,51527680000,531,83,2354,82681856000,598,1488213,1712437733,16,33603584000
12,51527680000,575,92,1631,85856256000,653,1559749,1712437743,16,33361920000
12,51527680000,619,102,1631,85856256000,706,1628005,1712437753,16,33361920000
11,51527680000,662,110,1564,87924736000,759,1692197,1712437763,16,33218560000
13,53739520000,706,120,1992,90284032000,812,1763108,1712437773,20,33574912000
13,53739520000,750,129,1992,90284032000,864,1839122,1712437783,20,33574912000
13,53731328000,793,139,2308,91045888000,917,1915952,1712437793,20,33509376000
13,53731328000,837,149,2123,94785536000,971,1996046,1712437803,20,33509376000
13,53731328000,880,158,2123,94785536000,1023,2077975,1712437813,20,33509376000
14,53731328000,924,167,1761,96808960000,1076,2178433,1712437823,20,33890304000
13,55881728000,968,175,2161,99020800000,1129,2284794,1712437833,21,33591296000
13,55881728000,1011,185,2161,99020800000,1182,2387728,1712437843,21,33591296000
13,55881728000,1020,194,1803,101150720000,1197,2452566,1712437852,23,33443840000
13,58064896000,1020,203,2081,101384192000,1206,2517484,1712437862,19,33337344000
13,58064896000,1020,212,2081,101384192000,1216,2579759,1712437872,19,33337344000
7,58073088000,1020,222,1525,105619456000,1222,2640792,1712437882,12,33394688000
6,58068992000,1020,232,1586,105791488000,1232,2714901,1712437892,12,33394688000
6,58068992000,1020,242,1586,105791488000,1241,2767993,1712437902,12,33394688000
5,58068992000,1020,250,1535,107937792000,1245,2828357,1712437912,11,33562624000
6,60203008000,1020,257,1351,107966464000,1253,2884076,1712437922,12,33865728000
6,60203008000,1020,268,1351,107966464000,1262,2954913,1712437932,12,33865728000
7,62357504000,1020,277,1455,110129152000,1262,2978561,1712437942,11,33669120000
7,62357504000,1020,283,1049,110039040000,1268,3027756,1712437952,12,33677312000
7,62357504000,1020,294,1049,110039040000,1273,3050011,1712437962,12,33677312000
6,61751296000,1020,302,1049,110039040000,1277,3086755,1712437972,11,32763904000
6,61747200000,1020,311,1022,110825472000,1286,3128013,1712437982,11,32907264000
6,61747200000,1020,318,1022,110825472000,1289,3143740,1712437992,11,32907264000
6,61743104000,1020,327,1217,113373184000,1295,3181101,1712438002,11,32780288000
5,61747200000,1020,336,1222,115101696000,1298,3208646,1712438012,11,32940032000
5,61747200000,1020,344,1222,115101696000,1302,3221734,1712438023,11,32940032000
5,61747200000,1020,352,1241,115691520000,1310,3259732,1712438033,10,32825344000
5,61751296000,1020,361,1504,115585024000,1313,3275455,1712438042,9,32874496000
5,61751296000,1020,368,1504,115585024000,1317,3294458,1712438053,9,32874496000
